id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
1024,295,1014.6,28.6,25.5,23.8,21.3,85.0,85.0,2.2,70.0,19.8,1
1025,296,1018.5,26.9,24.4,23.2,21.6,81.0,86.0,1.2,80.0,20.5,1
1026,297,1016.8,28.6,25.4,24.3,23.2,87.0,82.0,1.4,30.0,14.5,1
1027,298,1018.5,26.9,24.2,20.8,20.6,89.0,82.0,3.5,40.0,17.3,1
1028,299,1014.5,25.4,23.1,21.0,19.0,87.0,82.0,2.0,50.0,16.1,0
1029,300,1014.5,28.2,25.2,23.5,21.4,88.0,84.0,1.8,40.0,22.0,1
1030,301,1014.3,26.1,24.4,22.0,16.8,87.0,80.0,4.8,20.0,28.0,1
1031,302,1016.9,27.5,25.6,24.1,23.1,86.0,67.0,5.7,80.0,12.5,1
1032,303,1014.9,27.2,25.5,24.9,22.4,71.0,88.0,1.1,70.0,22.9,1
1033,304,1015.3,26.0,24.9,23.1,23.2,90.0,83.0,3.5,80.0,24.9,1
1034,305,1017.7,27.0,25.6,24.0,23.2,86.0,79.0,1.2,20.0,15.3,1
1035,306,1016.9,27.5,24.5,23.5,22.4,82.0,88.0,4.5,50.0,24.9,1
1036,307,1014.6,25.2,24.8,23.9,21.2,84.0,70.0,2.1,80.0,33.5,1
1037,3,1015.2,25.0,23.9,23.6,19.9,76.0,61.0,8.8,90.0,14.1,0
1038,309,1017.0,27.7,24.0,22.6,19.6,91.0,78.0,3.3,25.0,16.4,1
1039,310,1018.4,26.4,24.4,23.3,23.3,86.0,66.0,9.7,60.0,8.3,1
1040,311,1020.2,20.6,19.5,18.2,16.8,86.0,88.0,0.1,60.0,43.8,1
1041,312,1020.3,21.3,19.3,17.2,14.9,75.0,88.0,1.6,50.0,25.0,1
1042,313,1022.3,21.8,18.4,17.4,15.7,88.0,88.0,3.0,70.0,16.7,1
1043,314,1018.8,22.3,20.8,19.1,18.5,90.0,81.0,0.0,40.0,15.8,1
1044,315,1020.6,21.6,19.1,18.1,17.8,77.0,83.0,0.4,80.0,16.7,1
1045,316,1020.8,21.0,18.4,16.9,14.4,75.0,51.0,8.8,40.0,14.5,0
1046,317,1018.6,21.2,19.3,17.2,16.5,92.0,84.0,0.1,20.0,35.8,1
1047,318,1019.8,21.9,19.8,18.2,14.7,70.0,49.0,7.5,20.0,23.5,0
1048,319,1020.9,20.5,18.8,17.5,15.0,89.0,88.0,0.0,20.0,25.0,1
1049,320,1016.4,18.7,17.5,16.2,13.2,76.0,78.0,1.4,10.0,23.4,1
1050,321,1020.8,18.9,17.3,16.4,13.3,78.0,86.0,2.2,70.0,39.7,0
1051,322,1016.8,19.3,21.6,19.4,15.8,70.0,83.0,0.0,50.0,33.2,1
1052,323,1019.4,19.4,17.5,16.9,16.8,87.0,86.0,0.5,70.0,25.9,1
1053,324,1018.9,25.1,21.8,20.6,19.9,92.0,84.0,1.3,30.0,19.8,1
1054,325,1022.2,22.1,19.2,18.0,16.0,90.0,95.0,0.6,60.0,28.4,1
1055,326,1020.6,20.5,17.5,16.3,12.6,72.0,49.0,7.9,20.0,38.0,0
1056,327,1022.2,20.6,18.7,16.9,14.9,78.0,90.0,0.0,60.0,36.0,1
1057,328,1018.0,23.3,20.8,18.4,17.8,81.0,84.0,1.6,40.0,13.0,1
1058,329,1022.2,18.6,17.3,15.9,12.9,78.0,89.0,0.0,20.0,19.0,1
1059,330,1017.5,18.9,18.4,17.4,16.0,95.0,91.0,0.0,30.0,48.0,1
1060,331,1025.6,18.9,13.5,11.7,0.2,76.0,90.0,1.1,20.0,28.0,1
1061,332,1024.2,17.2,15.0,13.7,17.2,79.0,83.0,1.5,20.0,27.4,1
1062,333,1016.5,17.8,16.8,14.8,15.9,87.0,94.0,0.0,20.0,21.5,1
1063,334,1018.9,17.4,15.5,14.5,11.9,90.0,88.0,0.0,40.0,37.5,1
1064,335,1022.8,16.7,14.6,12.4,11.0,70.0,46.0,8.3,20.0,19.0,0
1065,336,1024.9,17.3,15.2,11.8,10.6,54.0,58.0,8.5,50.0,19.3,0
1066,337,1020.6,18.6,16.1,12.9,12.9,92.0,86.0,0.6,30.0,31.2,1
1067,338,1016.8,19.9,18.1,17.1,18.4,95.0,95.0,0.0,60.0,38.0,1
1068,339,1019.9,18.0,17.5,15.9,15.0,90.0,90.0,0.0,40.0,39.7,1
1069,340,1022.7,17.4,15.2,13.3,9.6,75.0,45.0,8.4,20.0,9.8,0
1070,341,1017.0,20.5,18.5,17.8,15.6,90.0,93.0,0.3,20.0,16.3,1
1071,342,1023.8,16.8,14.8,13.5,8.0,62.0,94.0,0.0,20.0,29.0,1
1072,343,1022.8,15.5,14.6,13.3,12.7,77.0,88.0,0.0,70.0,27.3,1
1073,344,1017.2,21.4,19.4,17.1,18.0,86.0,80.0,6.4,40.0,14.5,1
1074,345,1020.8,18.6,17.3,16.1,13.3,75.0,88.0,0.6,70.0,26.9,1
1075,346,1017.7,24.5,21.8,20.5,19.9,84.0,88.0,0.0,80.0,19.2,1
1076,347,1020.3,22.2,20.6,19.6,16.2,72.0,77.0,1.4,70.0,28.4,1
1077,348,1017.9,20.6,18.8,19.1,17.8,85.0,91.0,0.3,40.0,13.0,1
1078,349,1022.7,16.2,15.2,13.7,14.3,92.0,88.0,0.0,60.0,37.5,1
1079,350,1020.8,22.8,20.7,17.2,11.6,67.0,46.0,7.2,30.0,28.3,0
1080,351,1018.4,23.1,21.4,19.4,19.4,90.0,89.0,1.9,50.0,16.3,1
1081,352,1023.8,21.5,20.4,19.4,17.9,72.0,69.0,2.4,20.0,14.8,1
1082,353,1019.1,21.4,18.5,17.3,16.9,82.0,82.0,2.7,80.0,27.4,1
1083,354,1018.0,20.1,19.1,18.4,16.7,95.0,88.0,0.0,20.0,35.8,1
1084,355,1020.6,24.4,22.2,20.6,19.4,74.0,82.0,6.3,70.0,38.3,1
1085,356,1017.5,20.6,18.3,17.1,15.1,89.0,88.0,0.0,20.0,35.3,1
1086,357,1019.7,23.0,19.9,17.2,16.8,79.0,89.0,2.9,20.0,15.1,1
1087,358,1016.8,20.9,20.0,19.2,16.8,85.0,83.0,0.6,70.0,27.3,1
1088,359,1025.9,17.5,18.0,16.5,13.3,79.0,89.0,0.5,20.0,23.4,1
1089,360,1019.5,17.7,16.0,16.5,16.5,93.0,97.0,0.0,50.0,21.4,1
1090,361,1014.6,21.0,20.8,19.9,19.9,95.0,88.0,0.0,40.0,18.0,1
1091,362,1013.4,21.1,20.0,19.8,19.6,95.0,88.0,0.0,70.0,34.3,1
1092,363,1014.6,20.4,18.1,16.9,17.8,95.0,91.0,0.0,50.0,30.3,1
1093,364,1017.5,23.7,16.3,15.3,13.9,86.0,90.0,1.1,50.0,39.7,1
1094,365,1017.0,22.1,20.8,19.6,18.0,91.0,88.0,0.0,40.0,46.3,1
1095,1,1017.8,16.9,15.9,14.6,15.0,90.0,100.0,0.0,40.0,24.2,1
1096,2,1016.7,18.2,16.3,15.4,14.7,90.0,100.0,0.0,40.0,23.3,1
1097,3,1016.4,16.7,15.6,14.7,11.4,79.0,91.0,0.0,60.0,55.5,1
1098,4,1014.3,15.6,13.8,10.0,7.8,78.0,77.0,3.5,20.0,41.3,0
1099,5,1022.1,15.9,13.1,12.2,10.3,74.0,81.0,2.1,50.0,28.2,1
1100,6,1020.6,17.6,13.2,11.2,6.8,59.0,25.0,2.4,20.0,33.5,0
1101,7,1022.2,14.8,12.5,4.0,10.4,84.0,88.0,0.0,20.0,30.0,1
1102,8,1020.3,17.6,15.7,14.5,13.5,81.0,100.0,0.0,20.0,32.4,1
1103,9,1017.7,17.4,16.6,15.9,15.0,95.0,100.0,0.0,60.0,39.3,1
1104,10,1022.3,15.2,15.8,13.5,11.1,78.0,94.0,0.0,60.0,37.0,1
1105,11,1021.1,15.5,14.1,11.8,8.6,61.0,95.0,0.0,40.0,24.9,1
1106,12,1024.9,20.2,16.7,14.6,11.7,70.0,38.0,9.1,20.0,50.6,0
1107,13,1024.7,14.6,12.9,12.6,11.3,79.0,91.0,0.0,10.0,52.8,1
1108,14,1020.5,18.0,16.6,15.3,13.6,79.0,88.0,0.0,20.0,28.6,1
1109,15,1027.2,20.6,17.7,14.2,11.8,75.0,51.0,7.4,50.0,15.2,0
1110,16,1023.8,18.1,13.7,11.6,4.3,72.0,20.0,10.1,70.0,14.8,0
1111,17,1025.9,10.9,8.6,7.0,1.0,73.0,67.0,2.5,50.0,30.3,0
1112,18,1023.7,15.8,10.1,7.7,4.0,72.0,7.0,9.1,20.0,9.2,0
1113,19,1020.6,17.1,15.2,13.5,11.2,78.0,11.0,9.8,60.0,34.0,0
1114,20,1021.3,19.6,17.6,15.7,12.6,64.0,73.0,5.2,60.0,20.2,0
1115,21,1017.6,17.3,16.1,14.7,13.0,93.0,95.0,0.0,20.0,35.8,1
1116,22,1027.9,21.6,18.5,16.3,13.7,77.0,93.0,0.6,20.0,15.1,0
1117,23,1013.4,16.5,14.8,13.7,12.9,92.0,100.0,0.0,50.0,20.0,1
1118,24,1023.6,24.2,20.8,18.2,9.8,39.0,49.0,10.2,60.0,38.3,0
1119,25,1020.9,24.9,18.1,15.8,17.3,72.0,40.0,10.1,10.0,19.8,0
1120,26,1013.9,24.6,22.3,20.7,19.9,91.0,82.0,0.0,80.0,27.4,1
1121,27,1015.6,21.9,20.4,18.5,18.4,79.0,45.0,7.8,40.0,9.2,0
1122,28,1024.6,16.1,13.0,13.5,11.9,76.0,89.0,0.0,200.0,33.2,0
1123,29,1017.6,24.8,21.3,19.8,20.1,91.0,89.0,0.2,50.0,37.5,1
1124,30,1015.4,24.9,21.5,19.5,19.5,77.0,55.0,7.6,10.0,17.2,0
1125,31,1017.1,21.9,20.0,19.7,17.3,91.0,94.0,0.0,70.0,28.4,1
1126,32,1017.6,23.9,21.1,19.9,19.0,89.0,88.0,0.2,80.0,14.5,1
1127,33,1013.1,22.9,20.7,19.2,19.9,95.0,95.0,0.0,30.0,22.6,1
1128,34,1019.5,21.5,20.9,17.7,16.6,79.0,47.0,6.8,70.0,9.1,1
1129,35,1019.9,25.9,22.9,18.1,16.1,90.0,89.0,2.0,40.0,28.9,1
1130,36,1017.0,22.4,20.2,18.5,13.1,76.0,69.0,7.6,40.0,11.3,0
1131,37,1017.5,23.1,19.9,17.4,16.8,80.0,88.0,0.0,50.0,39.5,1
1132,265,1020.6,18.4,17.1,16.9,15.0,75.0,86.0,0.0,40.0,24.9,1
1133,39,1014.9,23.3,21.6,20.9,20.9,87.0,88.0,0.0,60.0,15.1,1
1134,40,1014.0,23.0,21.1,20.6,19.1,80.0,87.0,0.1,70.0,14.5,1
1135,41,1020.3,17.4,15.1,14.5,9.4,75.0,49.0,10.0,20.0,24.8,0
1136,42,1024.2,24.0,18.3,15.3,6.8,77.0,75.0,5.7,60.0,21.6,0
1137,43,1021.4,20.9,17.2,15.3,13.3,78.0,88.0,0.9,30.0,29.8,1
1138,44,1015.2,18.2,17.3,16.3,14.6,75.0,88.0,2.5,40.0,20.2,1
1139,45,1024.5,18.9,18.4,15.0,13.0,72.0,65.0,5.9,20.0,28.0,0
1140,46,1018.9,20.2,19.9,18.1,18.2,90.0,90.0,1.0,40.0,22.5,1
1141,47,1019.0,20.7,20.0,18.2,18.9,92.0,88.0,0.2,40.0,15.0,1
1142,48,1013.3,17.1,17.2,15.2,14.8,87.0,90.0,0.2,20.0,25.1,1
1143,49,1017.7,20.4,18.1,17.1,14.9,90.0,88.0,0.0,70.0,35.3,1
1144,50,1022.2,15.1,12.4,10.8,9.6,74.0,83.0,1.2,20.0,8.3,1
1145,51,1013.9,18.6,17.1,16.4,13.8,95.0,96.0,1.1,70.0,33.5,1
1146,52,1016.7,17.4,17.6,16.4,16.3,96.0,100.0,0.2,50.0,16.1,1
1147,53,1022.6,16.4,15.3,14.2,13.6,93.0,93.0,0.2,20.0,17.3,1
1148,54,1024.3,15.5,13.7,11.6,9.1,79.0,88.0,0.2,40.0,14.6,1
1149,55,1022.3,17.5,18.2,16.9,14.3,92.0,96.0,0.0,40.0,19.0,1
1150,56,1023.9,14.7,12.9,11.9,11.6,97.0,95.0,0.9,70.0,24.5,1
1151,57,1012.2,20.6,19.0,17.1,18.9,95.0,93.0,0.0,70.0,39.5,1
1152,58,1012.4,20.1,18.6,17.1,15.6,92.0,87.0,0.3,50.0,22.4,1
1153,59,1018.7,21.6,19.7,19.6,17.0,81.0,88.0,0.0,50.0,37.7,1
1154,60,1016.9,22.2,21.8,20.3,19.7,92.0,85.0,0.2,50.0,12.6,1
1155,61,1017.8,16.3,15.3,14.2,12.9,97.0,95.0,0.0,40.0,30.3,1
1156,62,1013.4,19.0,17.6,16.9,16.9,97.0,95.0,0.0,50.0,20.3,1
1157,63,1015.5,19.9,18.1,18.1,17.1,96.0,92.0,0.2,40.0,14.1,1
1158,64,1016.8,18.4,17.3,16.1,16.2,95.0,95.0,0.0,50.0,20.0,1
1159,65,1016.0,21.8,19.4,17.6,16.7,70.0,49.0,11.0,20.0,37.5,0
1160,66,1023.2,16.3,15.7,15.5,9.8,59.0,88.0,0.1,40.0,16.0,1
1161,67,1018.9,22.3,20.8,19.2,16.1,79.0,88.0,0.0,70.0,33.4,1
1162,68,1020.9,22.8,18.6,16.9,13.0,73.0,19.0,2.4,20.0,14.8,0
1163,69,1017.8,20.1,20.1,19.6,19.8,92.0,83.0,0.3,50.0,16.1,1
1164,70,1016.0,21.4,19.3,18.3,18.2,75.0,20.0,9.8,60.0,9.0,0
1165,71,1016.8,20.2,18.1,16.6,16.6,95.0,95.0,0.0,50.0,25.1,1
1166,72,1018.4,18.3,17.8,14.5,16.2,95.0,96.0,0.3,20.0,9.1,1
1167,73,1017.1,26.0,22.6,20.3,21.4,85.0,89.0,0.5,30.0,18.0,1
1168,74,1015.3,23.6,22.5,20.0,21.3,85.0,80.0,0.0,40.0,7.9,1
1169,75,1017.1,21.3,20.8,19.2,17.8,83.0,84.0,0.6,80.0,37.9,0
1170,76,1013.3,25.9,23.1,21.5,21.4,91.0,88.0,1.4,50.0,33.2,1
1171,77,1014.4,26.6,23.3,22.3,21.9,91.0,91.0,2.1,40.0,16.0,1
1172,78,1021.2,26.2,24.8,21.2,12.4,77.0,62.0,10.0,60.0,39.5,1
1173,79,1013.8,24.8,24.3,23.7,23.2,93.0,100.0,0.2,100.0,41.4,1
1174,80,1011.7,26.1,21.0,19.7,16.9,85.0,79.0,5.0,70.0,22.0,1
1175,81,1011.4,16.3,15.3,13.6,11.6,76.0,79.0,2.2,30.0,35.6,0
1176,82,1019.8,28.1,25.4,23.6,22.3,92.0,88.0,0.8,120.0,21.9,1
1177,83,1006.9,21.9,20.1,19.8,19.5,92.0,90.0,0.2,20.0,20.5,1
1178,84,1008.4,21.3,19.3,17.7,17.6,75.0,83.0,9.2,50.0,27.6,1
1179,85,1009.9,26.4,24.8,22.7,21.3,90.0,83.0,3.7,100.0,25.0,1
1180,86,1014.2,26.3,23.1,21.0,22.3,97.0,93.0,0.0,50.0,8.6,1
1181,87,1012.1,27.9,25.8,24.1,23.3,89.0,84.0,2.1,80.0,14.2,1
1182,88,1011.7,25.2,24.0,23.1,22.8,89.0,81.0,0.3,180.0,30.6,1
1183,89,1013.0,27.0,25.9,23.6,21.9,91.0,88.0,1.1,60.0,27.9,1
1184,90,1008.5,27.9,25.3,23.3,23.2,93.0,88.0,0.3,40.0,14.3,1
1185,91,1010.7,24.8,22.8,21.8,19.8,91.0,88.0,0.0,50.0,27.3,1
1186,92,1017.0,26.7,24.8,23.7,23.1,87.0,89.0,0.2,80.0,17.3,0
1187,93,1013.3,25.3,23.1,21.0,21.4,89.0,88.0,1.5,80.0,28.0,1
1188,94,1014.4,26.8,23.8,20.4,22.3,90.0,83.0,1.3,70.0,17.5,1
1189,95,1011.5,27.6,25.5,24.4,23.1,90.0,88.0,1.8,40.0,22.6,1
1190,96,1007.8,28.2,26.2,24.1,24.2,89.0,84.0,2.5,40.0,15.4,1
1191,97,1006.4,26.9,25.9,24.7,22.3,87.0,81.0,1.1,70.0,28.8,1
1192,98,1015.0,28.4,25.5,24.7,24.1,97.0,88.0,1.0,50.0,30.0,1
1193,99,1005.6,28.1,25.1,23.1,21.6,82.0,80.0,2.5,220.0,13.8,1
1194,100,1012.7,29.1,26.8,25.4,23.7,87.0,82.0,2.5,100.0,16.5,1
1195,101,1016.0,26.3,24.7,24.5,23.6,90.0,83.0,0.1,200.0,20.9,1
1196,102,1012.5,26.3,25.2,24.7,22.9,93.0,88.0,0.1,30.0,13.4,0
1197,103,1014.5,28.6,25.6,24.7,21.0,87.0,89.0,2.1,30.0,35.3,1
1198,104,1012.6,28.8,25.3,24.7,22.0,89.0,83.0,1.0,60.0,15.0,1
1199,105,1017.1,27.6,25.8,24.5,24.8,84.0,85.0,1.8,80.0,27.4,1
1200,106,1012.3,30.2,27.9,25.4,23.1,84.0,83.0,2.6,230.0,12.0,1
1201,107,1008.8,27.8,26.5,25.0,25.0,93.0,86.0,0.0,190.0,14.5,1
1202,108,1009.9,30.3,27.9,26.2,24.9,84.0,85.0,3.1,190.0,16.0,1
1203,109,1009.4,29.3,27.9,26.0,25.0,89.0,88.0,2.2,170.0,20.0,1
1204,110,1012.6,28.8,25.7,23.9,23.4,89.0,88.0,0.4,200.0,22.0,1
1205,111,1009.5,28.4,26.2,24.7,23.2,84.0,75.0,7.2,70.0,25.1,1
1206,112,1010.4,28.1,26.4,25.5,21.1,80.0,78.0,5.4,40.0,12.6,1
1207,113,1010.3,28.7,26.8,24.8,23.1,90.0,81.0,2.3,70.0,23.3,1
1208,114,1013.0,28.8,25.6,23.6,21.6,91.0,90.0,1.3,80.0,24.9,0
1209,115,1012.3,30.8,27.4,26.8,24.5,84.0,81.0,2.3,100.0,14.3,1
1210,80,1011.5,29.8,26.8,25.1,23.2,87.0,81.0,2.5,20.0,12.7,1
1211,117,1011.6,28.4,26.1,24.8,25.3,85.0,83.0,3.7,60.0,14.3,1
1212,118,1013.0,28.6,25.5,24.8,22.2,76.0,74.0,6.0,60.0,9.2,1
1213,119,1013.0,26.2,24.4,23.1,19.8,79.0,70.0,6.0,70.0,31.9,1
1214,120,1008.3,28.8,27.1,24.1,25.1,94.0,88.0,1.0,190.0,16.9,1
1215,121,1005.9,28.7,28.4,26.5,24.4,81.0,82.0,0.4,220.0,15.2,1
1216,122,1008.4,30.8,27.6,25.8,24.2,81.0,88.0,0.4,210.0,13.0,1
1217,123,1008.5,30.6,28.3,26.4,25.3,81.0,78.0,4.5,30.0,16.5,1
1218,124,1013.0,28.7,26.9,24.8,22.0,81.0,61.0,7.2,50.0,7.4,1
1219,125,1013.0,28.7,26.1,24.8,23.1,92.0,78.0,1.0,70.0,15.8,1
1220,126,1010.6,27.8,26.7,25.3,25.2,90.0,86.0,1.2,190.0,15.1,1
1221,127,1009.3,30.8,27.7,25.4,25.4,87.0,88.0,0.9,220.0,11.9,1
1222,128,1008.4,28.1,26.8,25.2,25.5,85.0,83.0,3.7,210.0,16.0,1
1223,129,1008.1,30.7,27.2,25.8,25.8,81.0,87.0,8.3,230.0,15.7,1
1224,130,1008.8,30.6,27.3,24.3,25.9,87.0,83.0,2.2,180.0,26.9,1
1225,131,1008.5,31.0,29.9,26.5,26.0,85.0,88.0,1.5,230.0,27.0,1
1226,132,1008.1,32.8,29.9,26.7,24.6,84.0,78.0,2.9,220.0,25.1,1
1227,133,1009.8,33.0,30.0,27.9,26.0,79.0,86.0,3.3,220.0,27.6,1
1228,134,1008.5,31.2,28.0,26.8,26.4,86.0,88.0,1.2,220.0,13.2,1
1229,135,1006.8,33.1,30.0,28.9,26.2,90.0,82.0,3.1,80.0,22.9,1
1230,136,1006.6,32.9,29.3,27.1,23.2,87.0,80.0,4.2,230.0,20.5,1
1231,137,1010.5,33.1,29.8,28.1,25.1,79.0,69.0,3.1,50.0,18.8,0
1232,138,1007.9,31.1,28.9,26.9,26.4,85.0,85.0,4.4,180.0,14.6,1
1233,139,1008.2,32.3,29.0,27.8,25.3,86.0,72.0,7.6,20.0,9.2,1
1234,140,1008.6,32.0,29.9,26.0,25.1,76.0,77.0,10.4,220.0,38.0,0
1235,141,1008.9,30.8,28.8,26.4,25.4,98.0,93.0,0.6,170.0,25.1,1
1236,142,1008.1,32.8,29.0,27.4,26.6,82.0,88.0,0.2,220.0,38.3,1
1237,143,1006.5,33.8,30.0,27.0,25.0,69.0,70.0,6.9,220.0,23.9,1
1238,144,1008.5,31.0,28.3,26.8,24.4,65.0,49.0,11.8,220.0,9.1,0
1239,145,1006.8,33.0,30.1,28.0,24.8,75.0,69.0,10.1,230.0,12.6,0
1240,146,1008.2,33.3,30.3,28.7,25.8,78.0,32.0,11.8,200.0,9.1,0
1241,147,1008.5,29.1,26.2,24.8,24.9,58.0,48.0,8.4,70.0,23.7,1
1242,148,1008.2,32.3,30.1,28.4,26.4,81.0,30.0,11.5,230.0,39.3,0
1243,149,1009.9,32.4,30.2,29.0,24.3,79.0,32.0,1.5,220.0,30.4,0
1244,150,1008.5,33.9,30.0,28.1,25.4,80.0,79.0,5.7,200.0,39.9,1
1245,151,1009.8,33.0,30.4,27.9,26.2,79.0,21.0,8.5,220.0,50.6,0
1246,152,1010.0,34.2,30.8,28.2,26.2,84.0,57.0,5.9,130.0,24.4,1
1247,153,1007.7,32.0,30.4,28.3,25.4,74.0,46.0,10.3,190.0,19.0,0
1248,154,1006.1,33.3,30.5,28.8,25.4,78.0,66.0,6.5,80.0,9.9,1
1249,155,1008.2,34.0,30.2,28.2,26.5,81.0,79.0,6.8,290.0,43.8,1
1250,156,1008.1,34.0,30.8,28.7,25.2,74.0,22.0,11.8,240.0,12.5,0
1251,236,1005.0,35.3,31.0,26.4,26.4,74.0,49.0,10.8,230.0,28.6,1
1252,158,1008.9,33.4,30.4,28.6,25.7,82.0,72.0,7.7,60.0,40.8,0
1253,159,1005.3,32.0,29.2,26.2,26.3,87.0,85.0,1.5,220.0,4.5,1
1254,160,1009.5,32.8,30.1,28.1,26.1,75.0,61.0,7.2,110.0,9.2,1
1255,161,1009.3,31.7,29.4,27.6,25.6,84.0,86.0,1.6,190.0,21.6,1
1256,162,1007.8,32.9,30.1,28.1,25.7,79.0,72.0,8.8,200.0,16.2,1
1257,163,1006.6,32.9,29.7,27.3,25.0,81.0,75.0,2.1,220.0,19.8,1
1258,164,1008.5,35.1,30.8,28.0,25.9,75.0,32.0,9.5,220.0,12.6,0
1259,165,1005.5,33.0,30.0,27.4,25.0,74.0,29.0,10.0,190.0,22.6,0
1260,166,1010.3,32.8,29.2,27.9,25.2,84.0,85.0,2.1,100.0,13.0,1
1261,167,1007.7,31.1,28.6,26.8,25.4,81.0,88.0,3.8,180.0,11.3,1
1262,168,1008.8,31.0,28.4,27.4,25.4,82.0,88.0,7.0,220.0,13.6,1
1263,169,1001.0,32.1,30.0,28.1,25.8,75.0,78.0,8.3,230.0,14.3,0
1264,170,1000.1,33.7,30.1,28.6,24.8,75.0,48.0,7.0,70.0,28.5,1
1265,171,999.0,35.0,31.5,28.2,25.3,76.0,38.0,10.0,280.0,30.0,0
1266,172,1005.4,30.8,28.9,26.0,25.5,88.0,88.0,1.9,240.0,29.0,1
1267,173,1003.8,31.3,28.1,26.5,25.6,85.0,87.0,0.1,220.0,29.6,1
1268,174,1005.9,31.3,28.7,26.5,26.3,93.0,88.0,0.1,130.0,27.0,1
1269,175,1008.1,35.0,31.0,28.4,25.0,75.0,78.0,9.0,280.0,18.0,0
1270,176,1000.7,30.4,28.6,25.4,25.5,84.0,84.0,5.7,220.0,11.7,1
1271,177,1009.7,32.8,29.6,27.6,25.8,79.0,76.0,7.1,210.0,18.8,1
1272,178,1008.8,31.4,28.7,27.0,25.4,81.0,84.0,1.8,200.0,12.8,1
1273,179,1008.6,30.6,28.6,26.9,25.0,86.0,88.0,0.4,250.0,21.9,1
1274,180,1007.6,32.2,29.2,26.2,25.9,86.0,82.0,1.2,180.0,14.6,1
1275,181,1008.1,32.0,29.6,27.8,25.3,80.0,69.0,6.0,230.0,12.8,1
1276,182,1010.5,32.0,29.1,27.0,25.0,85.0,83.0,6.5,250.0,21.9,0
1277,183,1008.5,29.2,27.8,26.6,25.4,89.0,81.0,6.4,190.0,23.9,1
1278,184,1005.2,32.9,29.9,26.8,26.1,75.0,71.0,7.6,230.0,13.3,1
1279,185,1009.1,33.1,30.8,28.4,24.9,76.0,30.0,9.4,220.0,11.9,0
1280,186,1007.8,31.4,30.6,28.9,24.8,78.0,58.0,10.3,220.0,15.1,0
1281,187,1005.9,33.2,30.1,27.9,24.8,72.0,28.0,11.8,130.0,14.6,0
1282,188,1008.3,33.2,30.0,28.8,25.2,81.0,77.0,7.8,220.0,22.5,1
1283,189,1009.5,33.3,30.0,27.8,25.8,79.0,43.0,9.5,220.0,11.2,0
1284,4,1007.9,33.0,30.1,27.8,25.1,78.0,67.0,5.7,220.0,12.5,1
1285,191,1005.7,31.0,29.2,27.8,26.2,83.0,83.0,4.7,60.0,14.8,1
1286,192,1008.0,33.0,30.2,28.4,25.2,78.0,69.0,10.8,220.0,12.0,0
1287,193,1005.9,33.3,30.6,28.2,25.6,84.0,81.0,3.0,240.0,12.9,1
1288,194,1006.1,32.3,30.0,28.1,24.7,79.0,57.0,6.1,210.0,20.2,0
1289,195,1007.9,32.3,29.1,28.9,26.4,79.0,78.0,8.2,270.0,25.1,1
1290,16,1008.4,32.3,29.0,26.5,24.4,79.0,40.0,11.2,220.0,12.4,0
1291,197,1008.4,34.4,30.1,28.5,25.6,72.0,41.0,10.4,20.0,4.4,0
1292,198,1008.1,33.1,30.1,28.1,25.8,75.0,46.0,10.2,240.0,4.5,0
1293,199,1003.4,33.2,30.6,28.0,24.4,74.0,47.0,10.0,60.0,14.8,0
1294,200,1009.6,34.0,30.0,26.5,24.3,80.0,63.0,6.8,190.0,7.9,1
1295,201,1011.4,35.6,31.0,27.8,24.6,77.0,47.0,6.3,220.0,25.2,1
1296,202,1008.4,33.3,30.6,28.4,24.2,72.0,54.0,10.1,200.0,9.5,0
1297,203,1011.4,31.4,28.9,26.7,24.5,81.0,88.0,2.2,100.0,22.5,1
1298,204,1008.0,31.0,28.4,26.3,25.3,85.0,88.0,1.9,40.0,13.0,1
1299,205,1009.9,31.8,28.0,26.6,24.8,84.0,78.0,4.1,290.0,8.1,1
1300,206,1000.0,31.4,28.0,26.9,24.7,79.0,84.0,2.9,220.0,23.9,1
1301,207,1005.7,30.5,27.1,25.0,24.3,87.0,79.0,5.9,230.0,12.8,1
1302,208,1008.3,30.8,27.0,25.8,24.2,84.0,85.0,2.4,210.0,13.1,1
1303,209,1007.4,33.7,30.2,27.0,26.1,89.0,87.0,0.6,230.0,11.0,1
1304,210,1008.1,33.7,30.3,27.8,24.3,72.0,29.0,5.9,10.0,9.2,0
1305,211,1009.3,32.8,29.7,28.1,24.5,78.0,78.0,8.6,230.0,25.2,1
1306,212,1011.3,32.4,28.1,26.8,24.5,77.0,54.0,9.9,100.0,20.0,1
1307,213,1008.2,30.6,28.4,26.3,25.3,81.0,82.0,2.8,220.0,25.5,1
1308,214,1008.5,35.0,31.3,27.8,25.3,75.0,30.0,9.1,130.0,9.2,0
1309,215,1000.0,32.3,28.0,27.3,26.2,89.0,80.0,6.1,210.0,25.1,1
1310,216,1008.1,31.7,29.1,26.5,26.0,82.0,85.0,0.4,230.0,25.9,1
1311,217,1008.3,29.1,27.9,25.8,23.2,72.0,69.0,7.1,70.0,25.9,1
1312,5,1005.7,31.7,28.5,27.3,24.3,76.0,49.0,7.2,240.0,15.1,1
1313,219,1008.1,32.0,28.1,26.8,25.4,84.0,78.0,4.6,220.0,15.7,1
